Sales,Quantity,Discount,Profit,state_mean,customer_loyalty,sub_cat_encoded,Main Category_Furniture,Main Category_Office Supplies,Main Category_Technology,Region_Central,Region_East,Region_South,Region_West
119.94,6,0.0,5.997,66.22524174008811,-2.023,13,0,0,1,0,1,0,0
125.88,6,0.0,60.4224,62.855089516129034,35.348275,10,0,1,0,1,0,0,0
14.304,6,0.2,4.6488,37.68536490897677,9.25825294117647,10,0,1,0,0,0,0,1
32.4,5,0.0,15.552,68.53695114942529,4.654125,7,0,1,0,0,0,1,0
77.952,3,0.2,-15.5904,-26.915380465717984,17.475229411764705,9,0,1,0,1,0,0,0
27.96,2,0.0,7.2696,37.68536490897677,0.01288181818181755,2,0,1,0,0,0,0,1
225.296,2,0.2,22.5296,37.68536490897677,98.51874285714287,12,1,0,0,0,0,0,1
64.624,7,0.2,22.6184,-17.257731203931204,23.912017647058825,7,0,1,0,1,0,0,0
169.064,7,0.2,-14.7931,-29.139264788732394,13.92287,14,0,0,1,0,0,0,1
502.488,3,0.2,-87.9354,37.68536490897677,1.0946454545454571,0,1,0,0,0,0,0,1
154.24,4,0.2,17.352,-26.915380465717984,14.93402,4,0,1,0,1,0,0,0
7.36,2,0.0,0.1472,37.68536490897677,7.158844444444444,2,0,1,0,0,0,0,1
1119.888,14,0.2,209.979,-23.67485820568928,21.34148,14,0,0,1,0,1,0,0
11.264,8,0.2,3.9424,-26.915380465717984,-2.9682000000000013,4,0,1,0,1,0,0,0
437.85,3,0.0,131.355,66.22524174008811,60.61930454545455,13,0,0,1,0,1,0,0
40.48,2,0.0,14.5728,37.68536490897677,18.442976923076923,5,1,0,0,0,0,0,1
47.208,7,0.2,15.3426,72.53792641509433,83.23563333333334,10,0,1,0,0,0,0,1
563.92,5,0.2,7.049,37.68536490897677,104.39516111111112,12,1,0,0,0,0,0,1
11.61,2,0.7,-9.288,-23.67485820568928,24.03531875,10,0,1,0,0,1,0,0
8.56,2,0.0,2.4824,37.68536490897677,-14.16443,4,0,1,0,0,0,0,1
637.896,3,0.3,-127.5792,-26.915380465717984,16.41927,0,1,0,0,1,0,0,0
25.92,4,0.0,12.4416,100.24185241379311,11.116384210526316,7,0,1,0,0,0,1,0
55.36,4,0.2,18.684,37.68536490897677,60.8816875,10,0,1,0,0,0,0,1
32.952,6,0.6,-19.7712,-17.257731203931204,30.715166666666665,5,1,0,0,1,0,0,0
11.673,3,0.7,-7.782,-23.67485820568928,93.09953529411763,10,0,1,0,0,1,0,0
431.928,9,0.2,64.7892,-29.139264788732394,43.10358,14,0,0,1,0,0,0,1
5.022,1,0.7,-3.5154,-9.831294949494948,27.348869999999998,10,0,1,0,0,0,0,1
479.9,5,0.0,81.583,136.28712399999998,56.381014285714286,12,1,0,0,1,0,0,0
174.0585,3,0.45,-110.7645,-3.3670856209150326,-54.51845714285714,0,1,0,0,0,0,1,0
579.3,5,0.0,28.965,37.68536490897677,4.654528571428572,2,0,1,0,0,0,0,1
25.12,5,0.2,7.85,72.53792641509433,23.757554545454546,10,0,1,0,0,0,0,1
195.64,4,0.0,3.9128,43.712077586206895,23.022782352941174,9,0,1,0,0,1,0,0
9.248,2,0.2,3.3524,-17.257731203931204,46.35782142857143,7,0,1,0,1,0,0,0
19.44,3,0.0,9.3312,37.68536490897677,21.987195000000003,7,0,1,0,0,0,0,1
6.0,2,0.2,2.1,-17.257731203931204,2.359860869565217,6,0,1,0,1,0,0,0
